domain,table,priority,purpose,read_write,partition,soft_delete
D08_COMMENT_CHAT_REALTIME,chat_room_pinned_messages,P2,"Lưu dữ liệu nghiệp vụ cho chat room pinned messages; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_reactions,P2,"Lưu dữ liệu nghiệp vụ cho chat message reactions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_mentions,P2,"Lưu dữ liệu nghiệp vụ cho chat message mentions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_attachments,P2,"Lưu dữ liệu nghiệp vụ cho chat message attachments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_task_links,P2,"Lưu dữ liệu nghiệp vụ cho chat message task links; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_edit_history,P2,"Lưu dữ liệu nghiệp vụ cho chat message edit history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_message_read_receipts,P2,"Lưu dữ liệu nghiệp vụ cho chat message read receipts; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_direct_messages,P2,"Lưu dữ liệu nghiệp vụ cho chat direct messages; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_dm_participants,P2,"Lưu dữ liệu nghiệp vụ cho chat dm participants; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,realtime_presence_sessions,P2,"Lưu dữ liệu nghiệp vụ cho realtime presence sessions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,realtime_typing_indicators,P2,"Lưu dữ liệu nghiệp vụ cho realtime typing indicators; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_spaces,P2,"Lưu dữ liệu nghiệp vụ cho wiki spaces; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_versions,P2,"Lưu dữ liệu nghiệp vụ cho wiki page versions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_contents,P2,"Lưu dữ liệu nghiệp vụ cho wiki page contents; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_permissions,P2,"Lưu dữ liệu nghiệp vụ cho wiki page permissions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_watchers,P2,"Lưu dữ liệu nghiệp vụ cho wiki page watchers; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_links,P2,"Lưu dữ liệu nghiệp vụ cho wiki page links; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_attachments,P2,"Lưu dữ liệu nghiệp vụ cho wiki page attachments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_templates,P2,"Lưu dữ liệu nghiệp vụ cho wiki page templates; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_tags,P2,"Lưu dữ liệu nghiệp vụ cho wiki page tags; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_export_history,P2,"Lưu dữ liệu nghiệp vụ cho wiki page export history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,file_versions,P2,"Lưu dữ liệu nghiệp vụ cho file versions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
